show_id,type,title,country,date_added,release_year,rating,duration,listed_in
s113,TV Show,45 rpm,Spain,2019-08-16,2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
s131,TV Show,60 Days In,United States,2020-11-01,2019,TV-MA,1 Season,Reality TV
s133,TV Show,7 (Seven),India,2019-07-30,2019,TV-14,1 Season,TV Shows
s135,TV Show,7 Days Out,United States,2018-12-21,2018,TV-PG,1 Season,Docuseries
s138,TV Show,72 Cutest Animals,Australia,2016-06-01,2016,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
s139,TV Show,72 Dangerous Animals: Asia,Australia,2018-08-10,2018,TV-14,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
s140,TV Show,72 Dangerous Animals: Latin America,"Australia, United States",2017-12-22,2017,TV-14,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
s141,TV Show,72 Dangerous Places to Live,Australia,2016-06-01,2016,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
s142,TV Show,7SEEDS,,2020-03-26,2020,TV-MA,2 Seasons,"Anime Series, International TV Shows"
s143,TV Show,9 Months That Made You,United States,2017-03-01,2016,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
s153,TV Show,A Boy Name Flora A,Taiwan,2017-09-01,2017,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas"
s181,TV Show,A Good Wife,Taiwan,2017-01-01,2013,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s189,TV Show,A House of Blocks,Taiwan,2017-09-01,2017,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Horror"
s192,TV Show,A Korean Odyssey,South Korea,2019-03-05,2017,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
s196,TV Show,A Lion in the House,United States,2020-11-10,2006,TV-14,1 Season,TV Shows
s198,TV Show,A Little Help with Carol Burnett,United States,2018-05-04,2018,TV-G,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies"
s199,TV Show,A Little Thing Called First Love,China,2019-10-26,2019,TV-G,1 Season,"International TV Shows, Romantic TV Shows, Teen TV Shows"
s200,TV Show,A Love So Beautiful,South Korea,2020-12-28,2020,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s203,TV Show,A Man Called God,South Korea,2019-03-12,2010,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows"
s214,TV Show,A Perfect Crime,Germany,2020-09-25,2020,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
s219,TV Show,A Queen Is Born,Brazil,2020-11-11,2020,TV-14,1 Season,"International TV Shows, Reality TV"
s226,TV Show,A Series of Unfortunate Events,United States,2019-01-01,2019,TV-PG,3 Seasons,"Kids' TV, TV Action & Adventure, TV Comedies"
s236,TV Show,A Taiwanese Tale of Two Cities,Taiwan,2019-01-27,2018,TV-MA,1 Season,"International TV Shows, TV Dramas"
s240,TV Show,A Thousand Goodnights,Taiwan,2019-06-01,2019,TV-14,1 Season,"International TV Shows, TV Dramas"
s242,TV Show,A Touch of Green,Taiwan,2020-07-01,2016,TV-MA,1 Season,"International TV Shows, TV Dramas"
s249,TV Show,A Very Secret Service,France,2018-07-30,2018,TV-MA,2 Seasons,"International TV Shows, TV Comedies"
s257,TV Show,A Year In Space,United States,2019-11-01,2015,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
s259,TV Show,A Young Doctor's Notebook and Other Stories,United Kingdom,,2013,TV-MA,2 Seasons,"British TV Shows, TV Comedies, TV Dramas"
s260,TV Show,A.D. Kingdom and Empire,United States,2017-12-15,2015,TV-14,1 Season,TV Dramas
s261,TV Show,A.I.C.O.,Japan,2018-03-09,2018,TV-14,1 Season,"Anime Series, International TV Shows"
s277,TV Show,Abby Hatcher,"United States, Canada",2020-07-01,2019,TV-Y,1 Season,Kids' TV
s285,TV Show,Abnormal Summit,South Korea,2017-08-04,2017,TV-PG,2 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows"
s289,TV Show,Abstract: The Art of Design,United States,2019-09-25,2019,TV-14,2 Seasons,Docuseries
s290,TV Show,Absurd Planet,United States,2020-04-22,2020,TV-PG,1 Season,"Docuseries, Science & Nature TV, TV Comedies"
s291,TV Show,Abyss,South Korea,2019-05-07,2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows"
s295,TV Show,Accidentally in Love,China,2018-10-19,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s304,TV Show,Ad Vitam,France,2019-11-01,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s307,TV Show,Adam Ruins Everything,United States,2018-09-30,2018,TV-14,1 Season,TV Comedies
s320,TV Show,Afflicted,United States,2018-08-10,2018,TV-MA,1 Season,"Docuseries, Reality TV, Science & Nature TV"
s322,TV Show,Africa,United Kingdom,2016-04-28,2013,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows"
s323,TV Show,Afronta! Facing It!,Brazil,2020-10-31,2017,TV-PG,1 Season,"Docuseries, International TV Shows"
s325,TV Show,After Life,United Kingdom,2020-04-24,2020,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies"
s334,TV Show,Against the Tide,Singapore,2017-07-01,2014,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s336,TV Show,Age Gap Love,United Kingdom,2019-07-12,2017,TV-MA,1 Season,"British TV Shows, Reality TV, Romantic TV Shows"
s337,TV Show,Age of Glory,,2017-08-14,2010,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas"
s338,TV Show,Age of Rebellion,Taiwan,2018-09-01,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s339,TV Show,Age of Tanks,"Germany, France, Russia",2018-11-10,2017,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
s340,TV Show,Agent,"Mauritius, South Africa",2019-12-20,2019,TV-MA,1 Season,"International TV Shows, TV Dramas"
s341,TV Show,Agent Raghav,India,2017-04-15,2015,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s342,TV Show,Aggretsuko,Japan,2020-08-27,2020,TV-14,3 Seasons,"Anime Series, International TV Shows"
s349,TV Show,Ainori Love Wagon: African Journey,Japan,2020-01-30,2019,TV-14,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
s350,TV Show,Ainori Love Wagon: Asian Journey,Japan,2019-03-28,2018,TV-MA,2 Seasons,"International TV Shows, Reality TV, Romantic TV Shows"
s351,TV Show,Ainsley Eats the Streets,United Kingdom,2019-07-12,2014,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows"
s358,TV Show,AJ and the Queen,United States,2020-01-10,2020,TV-14,1 Season,"TV Comedies, TV Dramas"
s360,TV Show,Ajaibnya Cinta,,2017-10-13,2015,TV-PG,1 Season,"International TV Shows, TV Dramas"
s361,TV Show,AJIN: Demi-Human,Japan,2016-12-27,2016,TV-MA,2 Seasons,"Anime Series, International TV Shows"
s364,TV Show,Akame ga Kill!,Japan,2020-03-01,2014,TV-14,1 Season,"Anime Series, Crime TV Shows, International TV Shows"
s365,TV Show,Akbar Birbal,India,2020-03-31,2019,TV-G,1 Season,"Kids' TV, TV Comedies, TV Dramas"
s366,TV Show,Akulah Balqis,,2017-11-03,2015,TV-14,1 Season,"International TV Shows, TV Dramas"
s368,TV Show,Al Hayba,Lebanon,2018-09-15,2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s381,TV Show,Alexa & Katie,United States,2020-06-13,2020,TV-G,4 Seasons,"Kids' TV, TV Comedies"
s390,TV Show,Alias Grace,Canada,2017-11-03,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s394,TV Show,Alice in Borderland,Japan,2020-12-10,2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Mysteries"
s397,TV Show,Alien TV,,2020-08-21,2020,TV-Y7,1 Season,"Kids' TV, TV Comedies"
s399,TV Show,Alien Worlds,United Kingdom,2020-12-02,2020,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows"
s405,TV Show,All About the Washingtons,United States,2018-08-10,2018,TV-PG,1 Season,TV Comedies
s406,TV Show,All American,United States,2020-03-17,2019,TV-14,2 Seasons,"TV Dramas, Teen TV Shows"
s410,TV Show,All For Love,Colombia,2020-06-26,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
s412,TV Show,All Hail King Julien,United States,2017-12-01,2017,TV-Y7,5 Seasons,"Kids' TV, TV Comedies"
s413,TV Show,All Hail King Julien: Exiled,,2017-05-12,2017,TV-Y7,1 Season,"Kids' TV, TV Action & Adventure, TV Comedies"
s427,TV Show,Almost Happy,Argentina,2020-05-02,2020,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
s429,TV Show,Alone,,2020-06-02,2019,TV-14,1 Season,Reality TV
s435,TV Show,Alphablocks,United Kingdom,2020-05-25,2014,TV-Y,5 Seasons,Kids' TV
s438,TV Show,Altered Carbon,United States,2020-02-27,2020,TV-MA,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas"
s441,TV Show,Always a Witch,Colombia,2020-02-28,2019,TV-14,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
s450,TV Show,Amazing Interiors,United Kingdom,2018-07-20,2018,TV-PG,1 Season,"British TV Shows, International TV Shows, Reality TV"
s452,TV Show,America's Book of Secrets,United States,2019-09-15,2014,TV-14,1 Season,Docuseries
s453,TV Show,America's Next Top Model,United States,2020-11-15,2013,TV-14,2 Seasons,Reality TV
s458,TV Show,American Crime,United States,2017-05-30,2017,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas"
s459,TV Show,American Crime Story: The People v. O.J. Simpson,United States,2019-03-06,2016,TV-MA,1 Season,"Crime TV Shows, TV Dramas"
s461,TV Show,American Experience: The Circus,United States,2019-05-02,2018,TV-PG,1 Season,Docuseries
s469,TV Show,American Horror Story,United States,2020-11-13,2019,TV-MA,9 Seasons,"TV Horror, TV Mysteries, TV Thrillers"
s472,TV Show,American Odyssey,United States,2016-04-05,2015,TV-14,1 Season,"TV Dramas, TV Thrillers"
s476,TV Show,American Vandal,United States,2018-09-14,2018,TV-MA,2 Seasons,"Crime TV Shows, TV Comedies, Teen TV Shows"
s479,TV Show,AMO,Philippines,2018-04-09,2017,TV-MA,1 Season,"International TV Shows, TV Dramas"
s495,TV Show,An Innocent Mistake,Taiwan,2017-01-01,2012,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s505,TV Show,Ancient Aliens,United States,2019-09-17,2018,TV-14,1 Season,"Docuseries, Science & Nature TV"
s516,TV Show,Angel 'N' Devil,Taiwan,2019-04-30,2014,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies"
s517,TV Show,Angel Beats!,Japan,2019-07-15,2010,TV-PG,1 Season,"Anime Series, International TV Shows"
s524,TV Show,Angry Birds,Finland,2019-03-16,2018,TV-Y7,3 Seasons,"Kids' TV, TV Comedies"
s532,TV Show,Anitta: Made In Honório,Brazil,2020-12-16,2020,TV-MA,1 Season,"Docuseries, International TV Shows"
s534,TV Show,Anjaan: Rural Myths,India,2018-12-15,2018,TV-14,1 Season,"International TV Shows, TV Horror, TV Thrillers"
s535,TV Show,Anjaan: Special Crimes Unit,India,2018-05-01,2018,TV-14,1 Season,"International TV Shows, TV Horror, TV Mysteries"
s540,TV Show,Anne with an E,Canada,2020-01-03,2019,TV-PG,3 Seasons,"International TV Shows, TV Dramas, Teen TV Shows"
s541,TV Show,Anohana: The Flower We Saw That Day,Japan,2019-07-15,2011,TV-14,1 Season,"Anime Series, International TV Shows, Teen TV Shows"
s544,TV Show,Another Life,United States,2019-07-25,2019,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Mysteries"
s545,TV Show,Another Miss Oh,South Korea,2019-10-16,2016,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
s546,TV Show,Answer for Heaven,,2019-06-27,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Comedies"
s550,TV Show,Anthony Bourdain: Parts Unknown,United States,,2018,TV-PG,5 Seasons,Docuseries
s557,TV Show,????????,Japan,2018-12-23,2012,TV-Y7,2 Seasons,"Anime Series, Kids' TV"
s559,TV Show,Apache: The Life of Carlos Tevez,Argentina,2019-08-16,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s560,TV Show,Apaches,Spain,2017-09-08,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s566,TV Show,Aquarius,United States,2017-06-16,2016,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas"
s570,TV Show,ARASHI's Diary -Voyage-,Japan,2019-12-31,2019,TV-PG,1 Season,"Docuseries, International TV Shows"
s571,TV Show,Archibald's Next Big Thing,,2020-03-20,2020,TV-Y7,2 Seasons,"Kids' TV, TV Comedies"
s575,TV Show,Are You The One,United States,2020-12-01,2014,TV-14,2 Seasons,Reality TV
s576,TV Show,Ares,Netherlands,2020-01-17,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror"
s577,TV Show,Argon,South Korea,2017-11-22,2017,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas"
s579,TV Show,Ari Shaffir: Double Negative,United States,2017-07-18,2017,TV-MA,1 Season,Stand-Up Comedy & Talk Shows
s584,TV Show,Arrested Development,United States,2018-05-29,2019,TV-MA,5 Seasons,TV Comedies
s585,TV Show,Arrow,United States,2020-02-05,2019,TV-14,8 Seasons,"Crime TV Shows, TV Action & Adventure"
s587,TV Show,Arthdal Chronicles,South Korea,2019-06-02,2019,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure"
s596,TV Show,Ash vs. Evil Dead,United States,2019-04-29,2018,TV-MA,3 Seasons,"TV Action & Adventure, TV Comedies, TV Horror"
s597,TV Show,Ashes of Love,China,2018-12-16,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s598,TV Show,Ask the Doctor,Australia,2018-10-19,2017,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV"
s599,TV Show,Ask the StoryBots,United States,2019-08-02,2019,TV-Y,3 Seasons,Kids' TV
s604,TV Show,Astronomy Club: The Sketch Show,United States,2019-12-06,2019,TV-MA,1 Season,TV Comedies
s610,TV Show,At the Dolphin Bay,Taiwan,2019-11-15,2003,TV-14,1 Season,"International TV Shows, Romantic TV Shows"
s611,TV Show,Atelier,Japan,2015-12-01,2015,TV-PG,1 Season,"International TV Shows, TV Dramas"
s616,TV Show,Atomic Puppet,"Canada, France",2017-12-01,2016,TV-Y7,1 Season,"Crime TV Shows, Kids' TV, TV Comedies"
s617,TV Show,Attack on Titan,Japan,2019-02-24,2013,TV-MA,1 Season,"Anime Series, International TV Shows"
s620,TV Show,Atypical,United States,2019-11-01,2019,TV-14,3 Seasons,"TV Comedies, TV Dramas, Teen TV Shows"
s622,TV Show,Aunty Donna's Big Ol' House of Fun,Australia,2020-11-11,2020,TV-MA,1 Season,TV Comedies
s625,TV Show,Aussie Gold Hunters,Australia,2017-08-01,2016,TV-MA,1 Season,"Docuseries, International TV Shows, Reality TV"
s631,TV Show,Autumn's Concerto,Taiwan,2016-08-01,2009,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s633,TV Show,Avatar: The Last Airbender,United States,2020-05-15,2007,TV-Y7,3 Seasons,"Classic & Cult TV, Kids' TV, TV Action & Adventure"
s640,TV Show,Awake: The Million Dollar Game,United States,2019-06-14,2019,TV-PG,1 Season,Reality TV
s641,TV Show,Away,United States,2020-09-04,2020,TV-14,1 Season,"Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
s642,TV Show,Away From Home,,2019-05-08,2015,TV-PG,1 Season,"International TV Shows, TV Dramas"
s652,TV Show,B: The Beginning,Japan,2018-03-02,2018,TV-MA,1 Season,"Anime Series, Crime TV Shows, International TV Shows"
s780,TV Show,Be-Be-Bears,Russia,2018-08-29,2018,TV-Y,1 Season,Kids' TV
s668,TV Show,Babies,United States,2020-06-19,2020,TV-14,2 Seasons,"Docuseries, Science & Nature TV"
s669,TV Show,Baby,Italy,2020-09-16,2020,TV-MA,3 Seasons,"International TV Shows, TV Dramas, Teen TV Shows"
s670,TV Show,Baby Ballroom,United Kingdom,2018-07-10,2018,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Reality TV"
s673,TV Show,Babylon Berlin,Germany,2020-03-01,2020,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas"
s677,TV Show,Back Street Girls -GOKUDOLS-,Japan,2018-12-12,2018,TV-MA,1 Season,"Anime Series, International TV Shows"
s678,TV Show,Back to 1989,Taiwan,2016-12-01,2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s681,TV Show,Back with the Ex,,2019-01-11,2018,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
s686,TV Show,Bad Blood,Canada,2019-05-31,2019,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas"
s687,TV Show,Bad Boy Billionaires: India,India,2020-10-05,2020,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows"
s691,TV Show,Bad Education,United Kingdom,2018-12-15,2014,TV-MA,3 Seasons,"British TV Shows, TV Comedies"
s694,TV Show,Bad Guys,South Korea,2019-08-08,2014,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows"
s695,TV Show,Bad Guys: Vile City,South Korea,2018-03-08,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows"
s699,TV Show,Badalte Rishton Ki Dastaan,India,2017-04-01,2013,TV-14,1 Season,"International TV Shows, TV Dramas"
s703,TV Show,Baewatch: Parental Guidance,,2020-08-22,2019,TV-MA,1 Season,"British TV Shows, Reality TV, Romantic TV Shows"
s704,TV Show,BAKI,Japan,2020-06-04,2020,TV-MA,3 Seasons,"Anime Series, International TV Shows"
s705,TV Show,Bakugan: Armored Alliance,,2020-11-06,2020,TV-Y7,1 Season,"Anime Series, Kids' TV"
s706,TV Show,Bakugan: Battle Planet,"Japan, Canada, United States",2020-11-06,2018,TV-PG,1 Season,"Anime Series, Kids' TV"
s707,TV Show,Bal Ganesh,,2020-03-31,2019,TV-Y7,1 Season,Kids' TV
s708,TV Show,Bala Loca,Chile,2017-04-01,2016,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
s721,TV Show,Bangkok Bachelors,,2018-06-04,2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s722,TV Show,Bangkok Buddies,Thailand,2019-11-20,2019,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas"
s724,TV Show,Bangkok Love Stories: Hey You!,,2019-03-08,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s725,TV Show,Bangkok Love Stories: Innocence,Thailand,2019-07-31,2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s726,TV Show,Bangkok Love Stories: Objects of Affection,Thailand,2019-07-02,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s727,TV Show,Bangkok Love Stories: Plead,Thailand,2019-07-02,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s732,TV Show,Barbarians,Germany,2020-10-23,2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
s736,TV Show,Barbie Dreamhouse Adventures,"United States, Canada",2019-02-14,2018,TV-Y,3 Seasons,Kids' TV
s737,TV Show,Barbie Dreamhouse Adventures: Go Team Roberts,,2020-03-21,2020,TV-Y,2 Seasons,Kids' TV
s741,TV Show,Barbie Life in the Dreamhouse,"United States, Canada",2017-07-01,2012,TV-Y,1 Season,"Kids' TV, TV Comedies"
s751,TV Show,Bard of Blood,India,2019-09-27,2019,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
s760,TV Show,Basketball or Nothing,United States,2019-08-02,2019,TV-PG,1 Season,"Docuseries, Reality TV"
s761,TV Show,Bat Pat,Italy,2017-12-31,2016,TV-Y,1 Season,Kids' TV
s762,TV Show,Bates Motel,United States,2018-02-20,2017,TV-MA,5 Seasons,"Crime TV Shows, TV Dramas, TV Horror"
s767,TV Show,Battle Creek,United States,2015-12-31,2015,TV-14,1 Season,"Crime TV Shows, TV Comedies, TV Dramas"
s769,TV Show,Battlefield Recovery,United Kingdom,2016-08-01,2016,TV-PG,1 Season,"British TV Shows, Docuseries, Reality TV"
s770,TV Show,Battlefish,,2018-09-21,2018,TV-MA,1 Season,"Reality TV, Science & Nature TV, TV Action & Adventure"
s778,TV Show,Be with Me,Taiwan,2016-10-01,2015,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s779,TV Show,Be with You,Taiwan,2016-10-01,2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s784,TV Show,Beast Legends,Canada,2019-02-01,2010,TV-PG,1 Season,Docuseries
s785,TV Show,BEASTARS,Japan,2020-03-13,2019,TV-MA,1 Season,"Anime Series, International TV Shows"
s787,TV Show,Beat Bugs,"Australia, Canada",2019-07-21,2018,TV-Y,3 Seasons,Kids' TV
s789,TV Show,Beating Again,South Korea,2017-05-22,2015,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
s792,TV Show,Beauty & the Beast,Canada,2016-09-19,2016,TV-14,4 Seasons,"Crime TV Shows, Romantic TV Shows, TV Dramas"
s794,TV Show,Beauty and the Bitches,,2019-04-23,2016,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies"
s798,TV Show,Because This Is My First Life,South Korea,2020-01-01,2017,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
s801,TV Show,Becoming Champions,Mexico,2018-08-01,2018,TV-G,1 Season,"Docuseries, International TV Shows"
s1047,TV Show,Border Patrol,,2019-10-02,2016,TV-PG,1 Season,Reality TV
s806,TV Show,Before 30,Nigeria,2020-11-24,2015,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s812,TV Show,Behind Enemy Lines,United States,2016-08-15,2001,TV-14,1 Season,"British TV Shows, Docuseries"
s815,TV Show,Behind the Newsroom,,2018-09-14,2015,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s816,TV Show,Behzat Ç.,Turkey,2017-05-19,2010,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s820,TV Show,Being Mary Jane: The Series,United States,2017-07-01,2016,TV-14,4 Seasons,"Romantic TV Shows, TV Dramas"
s826,TV Show,Bella and the Bulldogs,United States,2019-11-02,2015,TV-G,1 Season,"Kids' TV, TV Comedies"
s829,TV Show,Ben & Holly's Little Kingdom,United Kingdom,2020-03-15,2009,TV-Y,1 Season,Kids' TV
s830,TV Show,Ben 10,United States,2018-09-30,2016,TV-Y7,1 Season,Kids' TV
s850,TV Show,Best Leftovers Ever!,United States,2020-12-30,2020,TV-G,1 Season,Reality TV
s851,TV Show,Best Lover,"South Korea, China",2018-02-23,2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s856,TV Show,Best.Worst.Weekend.Ever.,United States,2018-10-19,2018,TV-PG,1 Season,"Kids' TV, TV Comedies"
s857,TV Show,Betaal,India,2020-05-24,2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Horror"
s859,TV Show,Better Call Saul,United States,2020-02-09,2018,TV-MA,4 Seasons,"Crime TV Shows, TV Comedies, TV Dramas"
s860,TV Show,Better Than Us,Russia,2019-08-16,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s863,TV Show,Between,Canada,2016-07-01,2016,TV-14,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries"
s869,TV Show,Beyblade Burst,Japan,2017-10-01,2016,TV-Y7,1 Season,"Anime Series, Kids' TV"
s870,TV Show,Beyblade Burst Evolution,,2018-11-15,2017,TV-Y,1 Season,"Anime Series, Kids' TV"
s871,TV Show,Beyblade Burst Rise,Japan,2020-11-15,2019,TV-Y7,1 Season,"Anime Series, Kids' TV"
s872,TV Show,Beyblade Burst Turbo,,2019-10-10,2018,TV-Y7,1 Season,"Anime Series, Kids' TV"
s873,TV Show,Beyblade: Metal Fusion,Japan,2017-12-15,2009,TV-Y7,1 Season,"Anime Series, Kids' TV"
s877,TV Show,Beyond Stranger Things,United States,2017-10-27,2017,TV-14,1 Season,"Stand-Up Comedy & Talk Shows, TV Mysteries, TV Sci-Fi & Fantasy"
