show_title,rating,votes,total_hours,total_views,weeks_in_top10,average_weekly_views_12m,average_weekly_views_4w,momentum_ratio,proven_demand_score,reliable_demand,demand_pattern,metadata_match_note,original_uk_audience,google_trends_average_12m,google_trends_average_4w,rights_status,current_platform,production_status,confirmed_release_date,estimated_viewers_low,estimated_viewers_base,estimated_viewers_high,projected_value_base_gbp,licence_cost_gbp,benefit_cost_ratio,projected_roi,break_even_viewers,recommendation
For Life,7.599999904632568,8415,39510000,,3,0.0,0.0,,61.11990666259024,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2970496.2081677285,4569994.16641189,6397991.832976645,11424985.416029725,,,,,Shortlist for rights and cost research
Tomorrow,7.800000190734863,9161,32800000,,3,0.0,0.0,,60.703271727735256,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2953570.4139392446,4543954.482983453,6361536.2761768345,11359886.207458634,,,,,Shortlist for rights and cost research
Man Vs Bee,6.699999809265137,26558,43610000,,2,0.0,0.0,,60.558076080245904,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2947671.8407599903,4534879.7550153695,6348831.657021517,11337199.387538424,,,,,Shortlist for rights and cost research
Cheer,8.100000381469727,6381,49780000,,2,0.0,0.0,,60.35206966923003,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2939302.83031247,4522004.354326877,6330806.096057627,11305010.885817192,,,,,Shortlist for rights and cost research
El marginal,8.199999809265137,4115,45700000,,3,0.0,0.0,,60.283416765781304,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2936513.806109866,4517713.547861332,6324798.967005865,11294283.86965333,,,,,Shortlist for rights and cost research
Queen of the South,8.0,30158,24560000,,2,0.0,0.0,,60.21602119502003,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2933775.861047689,4513501.324688752,6318901.854564252,11283753.31172188,,,,,Shortlist for rights and cost research
The Witness,7.0,4376,67600000,26100000.0,3,501923.07692307694,0.0,0.0,60.05817860681514,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2927363.5059018647,4503636.162925946,6305090.628096323,11259090.407314863,,,,,Shortlist for rights and cost research
JoJo's Bizarre Adventure,8.399999618530273,22677,22750000,,2,0.0,0.0,,59.711551290289776,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2913281.7711680224,4481971.955643111,6274760.737900355,11204929.889107777,,,,,Shortlist for rights and cost research
Kota Factory,9.100000381469728,71138,10200000,2400000.0,2,0.0,0.0,,59.70274960432389,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2912924.2026756583,4481421.850270243,6273990.59037834,11203554.625675607,,,,,Shortlist for rights and cost research
Daughter From Another Mother,7.300000190734863,1852,72870000,,4,0.0,0.0,,59.18262955883564,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2891794.325827698,4448914.347427228,6228480.086398118,11122285.868568068,,,,,Shortlist for rights and cost research
Thirty-Nine,7.699999809265137,1798,52650000,,5,0.0,0.0,,58.866380335045655,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2878946.7011112296,4429148.770940353,6200808.279316494,11072871.927350882,,,,,Shortlist for rights and cost research
Kleo,7.5,5517,39430000,1100000.0,3,0.0,0.0,,58.82583753356595,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2877299.649801117,4426614.845847872,6197260.784187021,11066537.11461968,,,,,Shortlist for rights and cost research
Gabby's Dollhouse,7.0,425,86550000,26100000.0,12,107692.30769230769,0.0,0.0,58.75854765289564,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2874565.9983988856,4422409.228305978,6191372.919628369,11056023.070764944,,,,,Shortlist for rights and cost research
Intimacy,6.800000190734863,2367,73470000,,4,0.0,0.0,,58.60481396699774,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2868320.5674092835,4412800.872937359,6177921.222112302,11032002.182343397,,,,,Shortlist for rights and cost research
Inside Job,8.199999809265137,75659,21240000,,1,0.0,0.0,,58.45049986576839,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2862051.5570468414,4403156.241610525,6164418.738254735,11007890.604026314,,,,,Shortlist for rights and cost research
Maya and the Three,8.100000381469727,3940,55470000,,2,0.0,0.0,,58.347086829154804,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2857850.4024344143,4396692.926822175,6155370.097551045,10991732.317055438,,,,,Shortlist for rights and cost research
High Heat,5.900000095367432,432,178860000,,6,0.0,0.0,,58.339153634082585,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2857528.116384605,4396197.102130162,6154675.942982226,10990492.755325403,,,,,Shortlist for rights and cost research
Partner Track,6.800000190734863,3840,66010000,,3,0.0,0.0,,58.32016743272814,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2856756.801954581,4395010.464545509,6153014.650363712,10987526.161363773,,,,,Shortlist for rights and cost research
I Am Georgina,3.900000095367432,2976,138040000,6100000.0,9,0.0,0.0,,57.96147015212565,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2842184.7249301043,4372591.884507853,6121628.638310993,10931479.711269632,,,,,Shortlist for rights and cost research
Love Is Blind: Brazil,6.199999809265137,459,109390000,6700000.0,9,0.0,0.0,,57.704201096400645,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2831733.1695412765,4356512.5685250405,6099117.595935056,10891281.4213126,,,,,Shortlist for rights and cost research
Heist,6.099999904632568,30618,34100000,,2,0.0,0.0,,57.38463619632853,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2818750.8454758464,4336539.762270533,6071155.667178745,10841349.405676331,,,,,Shortlist for rights and cost research
Animal Kingdom,8.199999809265137,37944,22700000,2800000.0,1,53846.153846153844,0.0,0.0,57.06503338865069,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2805766.9814139344,4316564.586790668,6043190.421506935,10791411.466976669,,,,,Shortlist for rights and cost research
Jurassic World Camp Cretaceous,7.5,8774,34320000,,2,0.0,0.0,,57.015860365599735,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2803769.3273524893,4313491.272849984,6038887.781989977,10783728.18212496,,,,,Shortlist for rights and cost research
Young Lady and Gentleman,6.400000095367432,213,108210000,,8,0.0,0.0,,56.90258073671186,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2799167.3424289194,4306411.296044491,6028975.814462287,10766028.240111228,,,,,Shortlist for rights and cost research
CoComelon,4.699999809265137,635,152210000,12100000.0,18,0.0,0.0,,56.71376470300039,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2791496.691059391,4294610.293937525,6012454.411512534,10736525.734843813,,,,,Shortlist for rights and cost research
Remarriage & Desires,7.400000095367432,1061,67850000,,4,0.0,0.0,,56.70954235304754,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2791325.158092557,4294346.397065472,6012084.95589166,10735865.99266368,,,,,Shortlist for rights and cost research
As the Crow Flies,6.300000190734863,3890,48850000,3500000.0,4,0.0,0.0,,56.60125274411975,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2786925.892729865,4287578.296507484,6002609.615110477,10718945.741268711,,,,,Shortlist for rights and cost research
The Imperfects,6.300000190734863,3130,71850000,,3,0.0,0.0,,56.120344057895075,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2767388.9773519877,4257521.503618442,5960530.105065819,10643803.759046106,,,,,Shortlist for rights and cost research
Attack on Titan,9.0,363297,4700000,1700000.0,1,0.0,0.0,,55.1874380734933,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2729489.6717356653,4199214.879593331,5878900.831430663,10498037.198983328,,,,,Shortlist for rights and cost research
Undercover,7.800000190734863,17309,28900000,,1,0.0,0.0,,55.17318083039326,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2728910.4712347263,4198323.801899578,5877653.32265941,10495809.504748946,,,,,Shortlist for rights and cost research
The Staircase,7.800000190734863,24588,22700000,2600000.0,1,50000.0,0.0,0.0,54.36802854503592,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2696201.159642084,4148001.7840647446,5807202.497690642,10370004.460161861,,,,,Shortlist for rights and cost research
Bling Empire,5.800000190734863,3136,51820000,,4,0.0,0.0,,54.20958284650491,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2689764.303139262,4138098.9279065565,5793338.4990691785,10345247.319766391,,,,,Shortlist for rights and cost research
"El Rey, Vicente Fernández",6.400000095367432,127,100030000,,5,0.0,0.0,,54.160403221239214,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2687766.3808628432,4135025.201327451,5789035.281858431,10337563.003318628,,,,,Shortlist for rights and cost research
The Creature Cases,8.399999618530273,101,44220000,7000000.0,5,42307.692307692305,0.0,0.0,54.0605511323323,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2683709.8897509994,4128784.4457707684,5780298.224079075,10321961.114426922,,,,,Shortlist for rights and cost research
The Snitch Cartel: Origins,5.599999904632568,195,112140000,,6,0.0,0.0,,53.780247850717586,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2672322.5689354017,4111265.490669849,5755771.6869377885,10278163.726674622,,,,,Shortlist for rights and cost research
Taxi Driver,8.199999809265137,819599,5000000,1100000.0,1,21153.846153846152,0.0,0.0,53.65293671868127,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2667150.5541964266,4103308.5449175793,5744631.9628846105,10258271.362293947,,,,,Shortlist for rights and cost research
Riverdale,6.599999904632568,143861,16460000,,1,0.0,0.0,,53.453591810280486,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2659052.1672926447,4090849.4881425304,5727189.283399542,10227123.720356327,,,,,Shortlist for rights and cost research
Next in Fashion,7.300000190734863,3728,40590000,,2,0.0,0.0,,53.14786455646628,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2646631.997606443,4071741.5347791426,5700438.148690799,10179353.836947856,,,,,Shortlist for rights and cost research
Bad Vegan: Fame. Fraud. Fugitives.,5.900000095367432,6759,44530000,,2,0.0,0.0,,53.13729117195649,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2646202.4538607327,4071080.698247281,5699512.977546193,10177701.745618202,,,,,Shortlist for rights and cost research
Blood & Water,6.599999904632568,3180,39060000,2200000.0,3,0.0,0.0,,52.709612143714324,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2628827.9933383944,4044350.758982145,5662091.062575003,10110876.897455363,,,,,Shortlist for rights and cost research
Home for Christmas,7.699999809265137,13956,14900000,3600000.0,2,69230.76923076923,0.0,0.0,52.661667458640196,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2626880.240507258,4041354.216165012,5657895.902631016,10103385.54041253,,,,,Shortlist for rights and cost research
Jimmy Savile: A British Horror Story,6.699999809265137,7292,29110000,,2,0.0,0.0,,52.59637358595391,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2624227.676929378,4037273.3491221196,5652182.688770968,10093183.3728053,,,,,Shortlist for rights and cost research
Happiness,7.900000095367432,5494,21760000,,2,0.0,0.0,,52.06729447470351,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2602733.8380348305,4004205.9046689696,5605888.266536557,10010514.761672424,,,,,Shortlist for rights and cost research
Dave Chappelle: The Closer,8.0,26593,14350000,,1,0.0,0.0,,51.90103246743922,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2595979.4439897183,3993814.529214951,5591340.3409009315,9984536.323037378,,,,,Shortlist for rights and cost research
My Hero Academia,8.399999618530273,60041,7800000,1500000.0,1,0.0,0.0,,51.874778792120644,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2594912.8884299016,3992173.6745075407,5589043.144310556,9980434.186268851,,,,,Shortlist for rights and cost research
Back to 15,6.699999809265137,741,44860000,6800000.0,5,0.0,0.0,,51.72419707566513,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2588795.506198896,3982762.3172290707,5575867.244120698,9956905.793072676,,,,,Shortlist for rights and cost research
Yakamoz S-245,6.099999904632568,6343,35060000,,2,0.0,0.0,,51.711270697111146,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2588270.3720701407,3981954.418569447,5574736.185997225,9954886.046423618,,,,,Shortlist for rights and cost research
Black Knight,6.599999904632568,435,79400000,,3,0.0,0.0,,51.479231179025,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2578843.7666478907,3967451.9486890626,5554432.728164688,9918629.871722657,,,,,Shortlist for rights and cost research
Selling The OC,5.5,767,67550000,7600000.0,5,0.0,0.0,,51.346350464538546,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2573445.4876218783,3959146.904033659,5542805.665647122,9897867.260084148,,,,,Shortlist for rights and cost research
Uncoupled,7.0,13745,26520000,,1,0.0,0.0,,51.269281580723444,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2570314.5642168904,3954330.0987952156,5536062.138313302,9885825.24698804,,,,,Shortlist for rights and cost research
Inside the World’s Toughest Prisons,7.099999904632568,2965,26830000,5800000.0,3,0.0,0.0,,50.807962206179326,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2551573.464626035,3925497.6378862076,5495696.69304069,9813744.094715519,,,,,Shortlist for rights and cost research
Luis Miguel - The Series,8.0,4729,19710000,,2,0.0,0.0,,50.77364695070291,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2550179.407372306,3923352.934418932,5492694.108186505,9808382.33604733,,,,,Shortlist for rights and cost research
The Stranger,7.300000190734863,50086,12200000,2000000.0,1,0.0,0.0,,50.70688320980709,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2547467.130398413,3919180.200612943,5486852.28085812,9797950.501532357,,,,,Shortlist for rights and cost research
The Sound of Magic,7.699999809265137,3255,26570000,,2,0.0,0.0,,50.46368931420964,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2537587.378389767,3903980.5821381025,5465572.814993343,9759951.455345256,,,,,Shortlist for rights and cost research
Warrior,7.800000190734863,25,53800000,6600000.0,3,0.0,0.0,,50.423292118608174,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2535946.242318457,3901455.7574130106,5462038.060378214,9753639.393532526,,,,,Shortlist for rights and cost research
Surviving Summer,6.5,1761,41100000,5500000.0,3,0.0,0.0,,50.185535404012114,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2526287.375787992,3886595.962750757,5441234.347851059,9716489.906876892,,,,,Shortlist for rights and cost research
The Longest Night,5.800000190734863,2083,45360000,,3,0.0,0.0,,49.990574819393665,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2518367.1020378675,3874410.926212104,5424175.296696945,9686027.31553026,,,,,Shortlist for rights and cost research
Our Great National Parks,7.900000095367432,1995,28870000,,2,0.0,0.0,,49.88787633257051,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2514194.976010677,3867992.2707856568,5415189.179099919,9669980.676964141,,,,,Shortlist for rights and cost research
Space Force,6.699999809265137,64540,12320000,,1,0.0,0.0,,49.8141682125281,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2511200.583633954,3863385.5132830064,5408739.718596209,9658463.783207515,,,,,Shortlist for rights and cost research
The War Next-door,5.699999809265137,466,55920000,,5,0.0,0.0,,49.70231278668913,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2506656.456959246,3856394.549168071,5398952.368835298,9640986.372920178,,,,,Shortlist for rights and cost research
Cocaine Cowboys: The Kings of Miami,7.099999904632568,2793,32760000,,2,0.0,0.0,,49.468123897185805,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2497142.5333231734,3841757.7435741127,5378460.841003757,9604394.358935282,,,,,Shortlist for rights and cost research
Invisible City,7.199999809265137,5589,18980000,,2,0.0,0.0,,49.08581915524698,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2481611.4031819087,3817863.6972029363,5345009.1760841105,9544659.243007341,,,,,Shortlist for rights and cost research
Sins of Our Mother,7.0,1918,36940000,,2,0.0,0.0,,48.98062149083128,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2477337.748065021,3811288.843176955,5335804.380447737,9528222.107942387,,,,,Shortlist for rights and cost research
The Girl from Oslo,6.300000190734863,3250,37240000,,2,0.0,0.0,,48.874691478162454,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2473034.3413003497,3804668.2173851533,5326535.504339214,9511670.543462884,,,,,Shortlist for rights and cost research
The 7 Lives of Lea,7.5,3323,23510000,,2,0.0,0.0,,48.862311348525964,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2472531.398533867,3803894.4592828727,5325452.242996021,9509736.148207182,,,,,Shortlist for rights and cost research
Hold Tight,6.099999904632568,2662,42440000,,2,0.0,0.0,,48.284850156896596,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2449072.037623924,3767803.134806037,5274924.388728451,9419507.837015092,,,,,Shortlist for rights and cost research
Into the Night,7.099999904632568,32118,10630000,,1,0.0,0.0,,47.73748445664243,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2426835.3060510987,3733592.7785401517,5227029.889956212,9333981.946350379,,,,,Shortlist for rights and cost research
WWII in Color: Road to Victory,8.199999809265137,1832,22190000,,2,0.0,0.0,,47.42255575399194,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2414041.3275059224,3713909.734624496,5199473.628474294,9284774.33656124,,,,,Shortlist for rights and cost research
Catching Killers,7.099999904632568,3614,22300000,7200000.0,2,0.0,0.0,,47.362191876335416,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2411589.0449761264,3710136.9922709637,5194191.789179349,9275342.48067741,,,,,Shortlist for rights and cost research
The Chair,7.199999809265137,16734,14020000,,1,0.0,0.0,,47.339096772674,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2410650.8063898813,3708693.5482921246,5192170.967608974,9271733.87073031,,,,,Shortlist for rights and cost research
Love 101,7.5,14630,12600000,,1,0.0,0.0,,47.26532546417955,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2407653.846982294,3704082.8415112216,5185715.9781157095,9260207.103778053,,,,,Shortlist for rights and cost research
Elize Matsunaga: Once Upon a Crime,5.900000095367432,2216,29310000,1500000.0,3,28846.153846153848,375000.0,13.0,47.223938022141006,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2405972.4821494785,3701496.126383813,5182094.576937338,9253740.315959532,,,,,Shortlist for rights and cost research
Gone for Good,6.300000190734863,4207,24670000,,2,0.0,0.0,,47.02637372517921,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2397946.4325854057,3689148.357823701,5164807.700953181,9222870.894559253,,,,,Shortlist for rights and cost research
A Model Family,6.599999904632568,818,34960000,,3,0.0,0.0,,46.68163213251371,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2383941.30538337,3667602.0082821073,5134642.81159495,9169005.020705268,,,,,Shortlist for rights and cost research
The Most Hated Man on the Internet,6.800000190734863,5753,24670000,,1,0.0,0.0,,46.51582647435711,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2377205.4505207576,3657239.154647319,5120134.816506246,9143097.886618298,,,,,Shortlist for rights and cost research
The Rising of the Shield Hero,8.0,13071,8900000,900000.0,1,0.0,0.0,,45.94503080170595,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2354016.876319304,3621564.425106622,5070190.19514927,9053911.062766554,,,,,Shortlist for rights and cost research
Hotel Del Luna,8.100000381469727,9013,9980000,,1,0.0,0.0,,45.64113183267294,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2341670.9807023383,3602570.7395420587,5043599.035358882,9006426.848855147,,,,,Shortlist for rights and cost research
The Fame Game,6.699999809265137,21640,11610000,,1,0.0,0.0,,45.63999856620923,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2341624.94175225,3602499.9103880767,5043499.874543307,9006249.77597019,,,,,Shortlist for rights and cost research
Brand New Cherry Flavor,7.099999904632568,15476,11140000,,1,0.0,0.0,,45.40258590841514,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2331980.0525293653,3587661.619275946,5022726.266986324,8969154.048189865,,,,,Shortlist for rights and cost research
Heirs to the Land,7.099999904632568,1109,30650000,,2,0.0,0.0,,45.395693218973875,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2331700.0370208137,3587230.826185867,5022123.156660214,8968077.065464668,,,,,Shortlist for rights and cost research
Aranyak,7.800000190734863,9298,10360000,,1,0.0,0.0,,45.20549031214916,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2323973.0439310595,3575343.1445093225,5005480.402313051,8938357.861273305,,,,,Shortlist for rights and cost research
The Boss Baby: Back in the Crib,6.099999904632568,190,46940000,,3,0.0,0.0,,45.11546949376243,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2320315.948184099,3569716.843360152,4997603.580704212,8924292.10840038,,,,,Shortlist for rights and cost research
The Smurfs,7.199999809265137,18686,9220000,,1,0.0,0.0,,45.06637602711476,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2318321.526101537,3566648.5016946723,4993307.902372541,8916621.254236681,,,,,Shortlist for rights and cost research
Elves,5.599999904632568,4251,24600000,,2,0.0,0.0,,44.9921406119577,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2315305.7123607816,3562008.788247356,4986812.303546298,8905021.97061839,,,,,Shortlist for rights and cost research
I Just Killed My Dad,6.699999809265137,4232,26190000,,1,0.0,0.0,,44.98587515834869,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2315051.1783079156,3561617.1973967934,4986264.07635551,8904042.993491983,,,,,Shortlist for rights and cost research
Another Life,5.199999809265137,35855,15760000,,1,0.0,0.0,,44.92099771898281,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2312415.5323336767,3557562.3574364255,4980587.300410995,8893905.893591063,,,,,Shortlist for rights and cost research
Wednesday,,,2931750000,197600000.0,32,1584615.3846153845,0.0,0.0,44.86810551558753,False,Mixed or limited evidence,IMDb match unavailable,,,,Unconfirmed,Current UK platform unverified,Research required,,2310266.7865707437,3554256.5947242207,4975959.232613909,8885641.486810552,,,,,Shortlist for rights and cost research
Human Resources,7.199999809265137,6188,16230000,,1,0.0,0.0,,44.75056879266279,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2305491.857201926,3546910.5495414245,4965674.769357994,8867276.37385356,,,,,Shortlist for rights and cost research
The Night Agent,,,1587220000,94900000.0,22,621153.8461538461,0.0,0.0,44.718225419664265,False,Mixed or limited evidence,IMDb match unavailable,,,,Unconfirmed,Current UK platform unverified,Research required,,2304177.907673861,3544889.088729017,4962844.724220623,8862222.721822543,,,,,Shortlist for rights and cost research
Kung Fu Panda: The Dragon Knight,5.900000095367432,1347,42200000,,2,0.0,0.0,,44.71772742175904,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2304157.676508961,3544857.9638599395,4962801.149403915,8862144.909649849,,,,,Shortlist for rights and cost research
Pokémon Journeys: The Series,6.900000095367432,632,37220000,,2,0.0,0.0,,44.58783612521543,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2298880.8425868773,3536739.7578259646,4951435.66095635,8841849.394564912,,,,,Shortlist for rights and cost research
Red Rose,6.400000095367432,761,41810000,,2,0.0,0.0,,44.52305920423725,False,Mixed or limited evidence,Exact cleaned title - verify remakes,,,,Unconfirmed,Current UK platform unverified,Research required,,2296249.2801721385,3532691.2002648283,4945767.680370759,8831728.00066207,,,,,Shortlist for rights and cost research
